,id,metric
0,BRATS_206.nii.gz,88.88
1,BRATS_318.nii.gz,84.0
2,BRATS_434.nii.gz,71.95
3,BRATS_365.nii.gz,58.1
4,BRATS_265.nii.gz,86.52
5,BRATS_214.nii.gz,80.66
6,BRATS_445.nii.gz,91.64
7,BRATS_377.nii.gz,88.44
8,BRATS_222.nii.gz,80.34
9,BRATS_195.nii.gz,84.76
10,BRATS_322.nii.gz,32.8
11,BRATS_410.nii.gz,89.03
12,BRATS_330.nii.gz,83.67
13,BRATS_230.nii.gz,66.89
14,BRATS_199.nii.gz,70.83
15,BRATS_402.nii.gz,85.31
16,BRATS_253.nii.gz,65.62
17,BRATS_384.nii.gz,78.96
18,BRATS_033.nii.gz,73.84
19,BRATS_150.nii.gz,85.91
20,BRATS_021.nii.gz,35.21
21,BRATS_288.nii.gz,81.19
22,BRATS_388.nii.gz,87.36
23,BRATS_142.nii.gz,88.88
24,BRATS_009.nii.gz,97.63
25,BRATS_109.nii.gz,88.52
26,BRATS_074.nii.gz,87.51
27,BRATS_005.nii.gz,77.13
28,BRATS_178.nii.gz,63.31
29,BRATS_078.nii.gz,57.59
30,BRATS_480.nii.gz,90.7
31,BRATS_166.nii.gz,86.47
32,BRATS_394.nii.gz,72.73
33,BRATS_398.nii.gz,80.03
34,BRATS_298.nii.gz,92.57
35,BRATS_007.nii.gz,95.34
36,BRATS_076.nii.gz,84.3
37,BRATS_176.nii.gz,41.99
38,BRATS_015.nii.gz,84.59
39,BRATS_208.nii.gz,78.62
40,BRATS_459.nii.gz,70.79
41,BRATS_375.nii.gz,80.79
42,BRATS_424.nii.gz,81.89
43,BRATS_316.nii.gz,87.55
44,BRATS_436.nii.gz,84.29
45,BRATS_455.nii.gz,89.95
46,BRATS_204.nii.gz,83.93
47,BRATS_279.nii.gz,85.66
48,BRATS_351.nii.gz,90.45
49,BRATS_400.nii.gz,79.92
50,BRATS_463.nii.gz,88.33
51,BRATS_232.nii.gz,79.9
52,BRATS_089.nii.gz,93.74
53,BRATS_243.nii.gz,28.02
54,BRATS_412.nii.gz,57.08
55,BRATS_343.nii.gz,89.58
56,BRATS_220.nii.gz,82.09
57,BRATS_197.nii.gz,65.75
58,BRATS_471.nii.gz,82.82
59,BRATS_320.nii.gz,86.53
60,BRATS_072.nii.gz,79.41
61,BRATS_011.nii.gz,88.66
62,BRATS_060.nii.gz,62.22
63,BRATS_003.nii.gz,87.45
64,BRATS_135.nii.gz,75.45
65,BRATS_282.nii.gz,77.14
66,BRATS_044.nii.gz,82.98
67,BRATS_144.nii.gz,78.62
68,BRATS_139.nii.gz,87.11
69,BRATS_390.nii.gz,76.5
70,BRATS_247.nii.gz,72.16
71,BRATS_359.nii.gz,67.85
72,BRATS_408.nii.gz,61.1
73,BRATS_093.nii.gz,79.26
74,BRATS_355.nii.gz,63.48
75,BRATS_255.nii.gz,75.04
76,BRATS_479.nii.gz,85.0
77,BRATS_328.nii.gz,87.02
78,BRATS_228.nii.gz,80.92
79,BRATS_336.nii.gz,89.9
80,BRATS_236.nii.gz,84.43
81,BRATS_081.nii.gz,90.27
82,BRATS_432.nii.gz,88.25
83,BRATS_200.nii.gz,88.76
84,BRATS_271.nii.gz,73.74
85,BRATS_371.nii.gz,90.27
86,BRATS_212.nii.gz,80.16
87,BRATS_312.nii.gz,78.1
88,BRATS_418.nii.gz,78.29
89,BRATS_349.nii.gz,91.18
90,BRATS_249.nii.gz,90.21
91,BRATS_465.nii.gz,82.97
92,BRATS_234.nii.gz,89.69
93,BRATS_083.nii.gz,81.0
94,BRATS_406.nii.gz,66.22
95,BRATS_357.nii.gz,77.59
96,BRATS_091.nii.gz,80.69
97,BRATS_414.nii.gz,76.99
98,BRATS_238.nii.gz,76.1
99,BRATS_469.nii.gz,92.12
100,BRATS_441.nii.gz,92.9
101,BRATS_273.nii.gz,77.19
102,BRATS_373.nii.gz,32.43
103,BRATS_302.nii.gz,80.13
104,BRATS_361.nii.gz,91.65
105,BRATS_430.nii.gz,78.28
