,id,metric
0,hippocampus_216.nii.gz,90.94
1,hippocampus_243.nii.gz,85.96
2,hippocampus_097.nii.gz,90.74
3,hippocampus_251.nii.gz,87.86
4,hippocampus_298.nii.gz,83.79
5,hippocampus_386.nii.gz,89.81
6,hippocampus_023.nii.gz,87.51
7,hippocampus_123.nii.gz,86.93
8,hippocampus_176.nii.gz,90.24
9,hippocampus_068.nii.gz,92.06
10,hippocampus_019.nii.gz,87.75
11,hippocampus_064.nii.gz,88.52
12,hippocampus_107.nii.gz,88.84
13,hippocampus_288.nii.gz,90.83
14,hippocampus_133.nii.gz,91.01
15,hippocampus_033.nii.gz,90.57
16,hippocampus_050.nii.gz,89.85
17,hippocampus_105.nii.gz,86.18
18,hippocampus_178.nii.gz,92.46
19,hippocampus_166.nii.gz,88.27
20,hippocampus_074.nii.gz,81.89
21,hippocampus_265.nii.gz,88.19
22,hippocampus_087.nii.gz,90.01
23,hippocampus_230.nii.gz,90.44
24,hippocampus_199.nii.gz,87.74
25,hippocampus_353.nii.gz,85.73
26,hippocampus_222.nii.gz,78.06
27,hippocampus_195.nii.gz,87.49
28,hippocampus_070.nii.gz,87.13
29,hippocampus_101.nii.gz,90.37
30,hippocampus_001.nii.gz,90.0
31,hippocampus_162.nii.gz,92.2
32,hippocampus_125.nii.gz,85.81
33,hippocampus_046.nii.gz,87.73
34,hippocampus_226.nii.gz,85.8
35,hippocampus_326.nii.gz,85.67
36,hippocampus_238.nii.gz,91.63
37,hippocampus_338.nii.gz,90.18
38,hippocampus_234.nii.gz,87.8
39,hippocampus_302.nii.gz,90.06
40,hippocampus_361.nii.gz,83.36
41,hippocampus_261.nii.gz,83.29
42,hippocampus_355.nii.gz,90.2
43,hippocampus_181.nii.gz,90.39
44,hippocampus_336.nii.gz,71.77
45,hippocampus_193.nii.gz,89.85
46,hippocampus_212.nii.gz,86.19
47,hippocampus_060.nii.gz,91.03
48,hippocampus_011.nii.gz,92.12
49,hippocampus_044.nii.gz,88.94
50,hippocampus_156.nii.gz,87.26
51,hippocampus_048.nii.gz,91.41
52,hippocampus_282.nii.gz,78.95
53,hippocampus_169.nii.gz,91.73
54,hippocampus_014.nii.gz,86.43
55,hippocampus_077.nii.gz,90.24
56,hippocampus_106.nii.gz,88.15
57,hippocampus_053.nii.gz,91.18
58,hippocampus_299.nii.gz,86.39
59,hippocampus_295.nii.gz,87.35
60,hippocampus_141.nii.gz,92.0
61,hippocampus_242.nii.gz,92.9
62,hippocampus_188.nii.gz,83.0
63,hippocampus_084.nii.gz,88.33
64,hippocampus_233.nii.gz,84.05
65,hippocampus_184.nii.gz,89.43
66,hippocampus_333.nii.gz,84.3
67,hippocampus_250.nii.gz,88.61
68,hippocampus_378.nii.gz,83.39
69,hippocampus_205.nii.gz,84.75
70,hippocampus_366.nii.gz,91.05
71,hippocampus_374.nii.gz,90.01
72,hippocampus_274.nii.gz,87.11
73,hippocampus_309.nii.gz,85.73
74,hippocampus_098.nii.gz,88.38
75,hippocampus_094.nii.gz,90.13
76,hippocampus_276.nii.gz,89.39
77,hippocampus_268.nii.gz,86.29
78,hippocampus_067.nii.gz,86.42
79,hippocampus_104.nii.gz,85.34
80,hippocampus_175.nii.gz,92.04
81,hippocampus_108.nii.gz,91.13
82,hippocampus_289.nii.gz,89.11
83,hippocampus_297.nii.gz,85.57
84,hippocampus_020.nii.gz,88.73
85,hippocampus_132.nii.gz,88.01
86,hippocampus_385.nii.gz,85.77
87,hippocampus_260.nii.gz,91.07
88,hippocampus_203.nii.gz,90.48
89,hippocampus_303.nii.gz,89.78
90,hippocampus_372.nii.gz,91.06
91,hippocampus_311.nii.gz,88.06
92,hippocampus_244.nii.gz,84.01
93,hippocampus_227.nii.gz,90.6
94,hippocampus_090.nii.gz,91.99
95,hippocampus_356.nii.gz,88.16
96,hippocampus_155.nii.gz,87.8
97,hippocampus_036.nii.gz,89.73
98,hippocampus_136.nii.gz,92.84
99,hippocampus_381.nii.gz,92.91
100,hippocampus_393.nii.gz,87.62
101,hippocampus_024.nii.gz,87.21
102,hippocampus_163.nii.gz,86.43
103,hippocampus_026.nii.gz,90.08
104,hippocampus_138.nii.gz,90.11
105,hippocampus_038.nii.gz,86.13
106,hippocampus_383.nii.gz,85.79
107,hippocampus_370.nii.gz,89.09
108,hippocampus_229.nii.gz,91.2
109,hippocampus_325.nii.gz,88.3
