,id,metric
0,hippocampus_216.nii.gz,1.0
1,hippocampus_243.nii.gz,2.0
2,hippocampus_097.nii.gz,1.0
3,hippocampus_251.nii.gz,1.0
4,hippocampus_298.nii.gz,1.4142135623730951
5,hippocampus_386.nii.gz,1.0
6,hippocampus_023.nii.gz,1.0
7,hippocampus_123.nii.gz,1.4142135623730951
8,hippocampus_176.nii.gz,1.0
9,hippocampus_068.nii.gz,1.0
10,hippocampus_019.nii.gz,1.0
11,hippocampus_064.nii.gz,1.0
12,hippocampus_107.nii.gz,1.0
13,hippocampus_288.nii.gz,1.0
14,hippocampus_133.nii.gz,1.0
15,hippocampus_033.nii.gz,1.0
16,hippocampus_050.nii.gz,1.0
17,hippocampus_105.nii.gz,1.4142135623730951
18,hippocampus_178.nii.gz,1.0
19,hippocampus_166.nii.gz,2.0
20,hippocampus_074.nii.gz,2.0
21,hippocampus_265.nii.gz,1.0
22,hippocampus_087.nii.gz,2.0
23,hippocampus_230.nii.gz,1.0
24,hippocampus_199.nii.gz,1.0
25,hippocampus_353.nii.gz,1.0
26,hippocampus_222.nii.gz,1.7320508075688772
27,hippocampus_195.nii.gz,1.0
28,hippocampus_070.nii.gz,1.0
29,hippocampus_101.nii.gz,1.0
30,hippocampus_001.nii.gz,1.0
31,hippocampus_162.nii.gz,1.0
32,hippocampus_125.nii.gz,1.4142135623730951
33,hippocampus_046.nii.gz,1.0
34,hippocampus_226.nii.gz,2.0
35,hippocampus_326.nii.gz,1.4142135623730951
36,hippocampus_238.nii.gz,1.0
37,hippocampus_338.nii.gz,1.0
38,hippocampus_234.nii.gz,1.0
39,hippocampus_302.nii.gz,1.0
40,hippocampus_361.nii.gz,3.0
41,hippocampus_261.nii.gz,1.4142135623730951
42,hippocampus_355.nii.gz,1.0
43,hippocampus_181.nii.gz,1.0
44,hippocampus_336.nii.gz,2.23606797749979
45,hippocampus_193.nii.gz,1.0
46,hippocampus_212.nii.gz,3.0
47,hippocampus_060.nii.gz,1.0
48,hippocampus_011.nii.gz,1.0
49,hippocampus_044.nii.gz,1.0
50,hippocampus_156.nii.gz,1.4142135623730951
51,hippocampus_048.nii.gz,1.0
52,hippocampus_282.nii.gz,3.0
53,hippocampus_169.nii.gz,1.0
54,hippocampus_014.nii.gz,2.0
55,hippocampus_077.nii.gz,1.0
56,hippocampus_106.nii.gz,1.0
57,hippocampus_053.nii.gz,1.0
58,hippocampus_299.nii.gz,1.0
59,hippocampus_295.nii.gz,1.0
60,hippocampus_141.nii.gz,1.0
61,hippocampus_242.nii.gz,1.0
62,hippocampus_188.nii.gz,2.0
63,hippocampus_084.nii.gz,2.0
64,hippocampus_233.nii.gz,2.0
65,hippocampus_184.nii.gz,1.0
66,hippocampus_333.nii.gz,1.0
67,hippocampus_250.nii.gz,1.4142135623730951
68,hippocampus_378.nii.gz,2.0
69,hippocampus_205.nii.gz,2.0
70,hippocampus_366.nii.gz,1.0
71,hippocampus_374.nii.gz,1.0
72,hippocampus_274.nii.gz,1.0
73,hippocampus_309.nii.gz,1.0
74,hippocampus_098.nii.gz,1.0
75,hippocampus_094.nii.gz,1.0
76,hippocampus_276.nii.gz,1.0
77,hippocampus_268.nii.gz,1.0
78,hippocampus_067.nii.gz,1.4142135623730951
79,hippocampus_104.nii.gz,2.0
80,hippocampus_175.nii.gz,1.0
81,hippocampus_108.nii.gz,1.0
82,hippocampus_289.nii.gz,1.0
83,hippocampus_297.nii.gz,1.0
84,hippocampus_020.nii.gz,1.0
85,hippocampus_132.nii.gz,1.0
86,hippocampus_385.nii.gz,2.0
87,hippocampus_260.nii.gz,1.0
88,hippocampus_203.nii.gz,1.0
89,hippocampus_303.nii.gz,1.0
90,hippocampus_372.nii.gz,1.0
91,hippocampus_311.nii.gz,1.0
92,hippocampus_244.nii.gz,8.12403840463596
93,hippocampus_227.nii.gz,1.0
94,hippocampus_090.nii.gz,1.0
95,hippocampus_356.nii.gz,1.0
96,hippocampus_155.nii.gz,1.0
97,hippocampus_036.nii.gz,1.0
98,hippocampus_136.nii.gz,1.0
99,hippocampus_381.nii.gz,1.0
100,hippocampus_393.nii.gz,1.0
101,hippocampus_024.nii.gz,2.0
102,hippocampus_163.nii.gz,2.0
103,hippocampus_026.nii.gz,1.0
104,hippocampus_138.nii.gz,1.0
105,hippocampus_038.nii.gz,1.0
106,hippocampus_383.nii.gz,1.4142135623730951
107,hippocampus_370.nii.gz,1.0
108,hippocampus_229.nii.gz,1.0
109,hippocampus_325.nii.gz,1.0
