,sample-set,u-kj,sigma-kj,SEM-kj,w-kj,A-kj,B-kj,u-kj-star,SEM-kj-star,w-kj-star,A-kj-star,B-kj-star
0,10,88.764,2.932092085866334,0.927,3.63384,-1.8173,1.8173,88.765,0.933,3.63,-2.0,1.62
1,10,87.79099999999998,2.4813683724912736,0.785,3.0772,-1.538,1.538,87.795,0.777,3.06,-1.55,1.5
2,10,88.346,2.590599158495965,0.819,3.2104799999999996,-1.6057,1.6057,88.341,0.82,3.19,-1.63,1.56
3,10,85.876,3.7830997872115404,1.196,4.68832,-2.3448,2.3448,85.862,1.198,4.68,-2.4,2.28
4,10,89.034,2.1110101847219975,0.668,2.61856,-1.3084,1.3084,89.034,0.659,2.57,-1.24,1.33
5,10,86.196,4.085766023648439,1.292,5.06464,-2.5324,2.5324,86.213,1.303,5.12,-2.67,2.46
6,10,88.499,2.426686835996766,0.767,3.00664,-1.5041,1.5041,88.503,0.776,3.04,-1.5,1.54
7,10,87.786,1.5170708618914284,0.48,1.8816,-0.9403,0.9403,87.787,0.485,1.9,-0.93,0.97
8,10,88.253,3.1182689107900874,0.986,3.8651199999999997,-1.9327,1.9327,88.256,0.981,3.84,-2.05,1.78
9,10,88.78900000000002,2.402683707856695,0.76,2.9792,-1.4892,1.4892,88.791,0.76,2.96,-1.54,1.42
10,10,89.49199999999999,2.261635691264177,0.715,2.8028,-1.4018,1.4018,89.497,0.711,2.78,-1.37,1.41
11,10,87.971,3.158349094067974,0.999,3.91608,-1.9576,1.9576,87.984,0.992,3.84,-1.93,1.9
12,10,85.765,5.730007417098167,1.812,7.10304,-3.5515,3.5515,85.757,1.813,7.08,-3.85,3.22
13,10,89.012,2.7476673743377296,0.869,3.4064799999999997,-1.703,1.703,89.008,0.876,3.41,-1.78,1.62
14,10,87.785,2.123319335380336,0.671,2.63032,-1.316,1.316,87.773,0.677,2.63,-1.29,1.33
15,10,88.696,2.7295831183534225,0.863,3.3829599999999997,-1.6918,1.6918,88.703,0.863,3.35,-1.72,1.64
16,10,88.747,2.654912616264423,0.84,3.2927999999999997,-1.6455,1.6455,88.747,0.838,3.25,-1.7,1.56
17,10,88.521,1.9130940907336487,0.605,2.3716,-1.1857,1.1857,88.518,0.602,2.37,-1.16,1.2
18,10,86.87800000000001,3.280721871783707,1.037,4.06504,-2.0334,2.0334,86.885,1.035,4.01,-2.19,1.83
19,10,89.14399999999998,2.253886421273265,0.713,2.7949599999999997,-1.397,1.397,89.157,0.713,2.77,-1.41,1.36
20,10,87.348,3.501533378392957,1.107,4.33944,-2.1703,2.1703,87.334,1.095,4.29,-2.38,1.91
21,10,88.16,2.1601342550869385,0.683,2.67736,-1.3389,1.3389,88.159,0.685,2.68,-1.4,1.28
22,10,88.751,2.1588814233301443,0.683,2.67736,-1.3381,1.3381,88.745,0.686,2.68,-1.42,1.25
23,10,87.69300000000001,3.8538190149512728,1.219,4.77848,-2.3886,2.3886,87.697,1.21,4.71,-2.58,2.13
24,10,88.143,2.617976508679936,0.828,3.2457599999999998,-1.6226,1.6226,88.148,0.824,3.17,-1.61,1.56
25,10,87.674,1.5618975638626218,0.494,1.93648,-0.9681,0.9681,87.675,0.5,1.96,-0.93,1.03
26,10,86.02600000000001,4.3499177003708915,1.376,5.39392,-2.6961,2.6961,86.026,1.368,5.3,-2.83,2.47
27,10,88.69000000000001,2.2028526959377017,0.697,2.7322399999999996,-1.3653,1.3653,88.685,0.7,2.75,-1.37,1.38
28,10,89.20700000000001,1.7686042519455842,0.559,2.1912800000000003,-1.0962,1.0962,89.204,0.56,2.19,-1.1,1.09
29,10,88.053,2.6366306150084795,0.834,3.2692799999999997,-1.6342,1.6342,88.039,0.836,3.28,-1.73,1.55
30,10,88.196,2.18208707433961,0.69,2.7047999999999996,-1.3525,1.3525,88.201,0.691,2.69,-1.31,1.38
31,10,87.84099999999998,2.975807285426931,0.941,3.6887199999999996,-1.8444,1.8444,87.851,0.94,3.65,-1.92,1.73
32,10,87.91199999999999,2.79748386947986,0.885,3.4692,-1.7339,1.7339,87.922,0.885,3.46,-1.76,1.69
