,sample-set,u-kj,sigma-kj,SEM-kj,w-kj,A-kj,B-kj,u-kj-star,SEM-kj-star,w-kj-star,A-kj-star,B-kj-star
0,10,1.2,0.4,0.126,0.49391999999999997,-0.2479,0.2479,1.2,0.127,0.5,-0.2,0.3
1,10,1.1242640687119283,0.18981650034520206,0.06,0.2352,-0.1176,0.1176,1.124,0.06,0.25,-0.12,0.12
2,10,1.2,0.4,0.126,0.49391999999999997,-0.2479,0.2479,1.199,0.126,0.5,-0.2,0.3
3,10,1.4560477932315066,0.42417546348847124,0.134,0.52528,-0.2629,0.2629,1.458,0.135,0.52,-0.26,0.27
4,10,1.2,0.4,0.126,0.49391999999999997,-0.2479,0.2479,1.201,0.126,0.5,-0.2,0.3
5,10,1.3560477932315067,0.40141547363294394,0.127,0.49784,-0.2488,0.2488,1.356,0.126,0.49,-0.23,0.26
6,10,1.1828427124746193,0.31762102818561266,0.1,0.392,-0.1969,0.1969,1.182,0.101,0.4,-0.18,0.22
7,10,1.6,0.66332495807108,0.21,0.8231999999999999,-0.4111,0.4111,1.599,0.21,0.8,-0.4,0.4
8,10,1.3,0.6403124237432849,0.202,0.79184,-0.3969,0.3969,1.299,0.203,0.8,-0.3,0.5
9,10,1.4414213562373095,0.6498495778124314,0.206,0.8075199999999999,-0.4028,0.4028,1.442,0.206,0.8,-0.34,0.46
10,10,1.1414213562373097,0.3117006376724003,0.099,0.38808000000000004,-0.1932,0.1932,1.141,0.098,0.34,-0.14,0.2
11,10,1.3414213562373096,0.6329208047066057,0.2,0.784,-0.3923,0.3923,1.337,0.198,0.78,-0.34,0.45
12,10,2.1360106382135746,2.1065276056673063,0.666,2.61072,-1.3056,1.3056,2.14,0.67,2.51,-1.02,1.49
13,10,1.3,0.45825756949558394,0.145,0.5683999999999999,-0.284,0.284,1.301,0.146,0.6,-0.3,0.3
14,10,1.1,0.3,0.095,0.3724,-0.1859,0.1859,1.1,0.094,0.3,-0.1,0.2
15,10,1.3,0.45825756949558405,0.145,0.5683999999999999,-0.284,0.284,1.299,0.146,0.6,-0.3,0.3
16,10,1.1,0.3,0.095,0.3724,-0.1859,0.1859,1.098,0.094,0.3,-0.1,0.2
17,10,1.182842712474619,0.3176210281856127,0.1,0.392,-0.1969,0.1969,1.182,0.101,0.4,-0.18,0.22
18,10,1.3242640687119285,0.5884935652312,0.186,0.72912,-0.3648,0.3648,1.324,0.185,0.68,-0.28,0.4
19,10,1.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,10,1.482842712474619,0.6333857355994957,0.2,0.784,-0.3926,0.3926,1.486,0.199,0.77,-0.34,0.42
21,10,1.4,0.66332495807108,0.21,0.8231999999999999,-0.4111,0.4111,1.399,0.21,0.8,-0.4,0.4
22,10,1.082842712474619,0.16568542494923807,0.052,0.20384,-0.1027,0.1027,1.083,0.052,0.21,-0.08,0.12
23,10,1.3414213562373096,0.6329208047066057,0.2,0.784,-0.3923,0.3923,1.34,0.199,0.78,-0.34,0.44
24,10,1.8538251967009054,2.1126599679259432,0.668,2.61856,-1.3094,1.3094,1.852,0.671,2.32,-0.85,1.47
25,10,1.082842712474619,0.16568542494923807,0.052,0.20384,-0.1027,0.1027,1.083,0.053,0.21,-0.08,0.12
26,10,1.4974691494688162,0.5979850720453983,0.189,0.74088,-0.3706,0.3706,1.499,0.189,0.73,-0.32,0.42
27,10,1.1,0.3,0.095,0.3724,-0.1859,0.1859,1.101,0.096,0.3,-0.1,0.2
28,10,1.1414213562373097,0.3117006376724003,0.099,0.38808000000000004,-0.1932,0.1932,1.143,0.099,0.34,-0.14,0.2
29,10,1.1,0.3,0.095,0.3724,-0.1859,0.1859,1.101,0.096,0.3,-0.1,0.2
30,10,1.5,0.6708203932499369,0.212,0.83104,-0.4158,0.4158,1.501,0.213,0.8,-0.4,0.4
31,10,1.2,0.4,0.126,0.49391999999999997,-0.2479,0.2479,1.199,0.127,0.5,-0.2,0.3
32,10,2.053825196700905,2.1170267030428516,0.669,2.62248,-1.3121,1.3121,2.042,0.665,2.46,-0.96,1.5
33,10,1.2414213562373095,0.3985887809232958,0.126,0.49391999999999997,-0.247,0.247,1.241,0.126,0.5,-0.24,0.26
34,10,1.3414213562373096,0.6329208047066057,0.2,0.784,-0.3923,0.3923,1.343,0.2,0.78,-0.34,0.44
35,10,1.3828427124746192,0.4332967026828593,0.137,0.5370400000000001,-0.2686,0.2686,1.381,0.138,0.55,-0.26,0.28
36,10,1.1414213562373097,0.31170063767240036,0.099,0.38808000000000004,-0.1932,0.1932,1.142,0.099,0.37,-0.14,0.22
37,10,1.5,0.806225774829855,0.255,0.9996,-0.4997,0.4997,1.499,0.253,1.0,-0.5,0.5
38,10,1.482842712474619,0.6333857355994957,0.2,0.784,-0.3926,0.3926,1.482,0.2,0.76,-0.34,0.42
39,10,1.2,0.4,0.126,0.49391999999999997,-0.2479,0.2479,1.198,0.126,0.5,-0.2,0.3
40,10,1.1828427124746193,0.3176210281856127,0.1,0.392,-0.1969,0.1969,1.183,0.101,0.4,-0.18,0.22
41,10,1.3414213562373096,0.4478713487492331,0.142,0.5566399999999999,-0.2776,0.2776,1.342,0.14,0.54,-0.24,0.3
