,id,metric
0,BRATS_206.nii.gz,89.88
1,BRATS_318.nii.gz,84.36
2,BRATS_434.nii.gz,77.98
3,BRATS_365.nii.gz,54.96
4,BRATS_265.nii.gz,88.72
5,BRATS_214.nii.gz,83.82
6,BRATS_445.nii.gz,92.06
7,BRATS_377.nii.gz,90.65
8,BRATS_222.nii.gz,88.95
9,BRATS_195.nii.gz,85.56
10,BRATS_322.nii.gz,37.53
11,BRATS_410.nii.gz,91.74
12,BRATS_330.nii.gz,81.53
13,BRATS_230.nii.gz,72.65
14,BRATS_199.nii.gz,75.51
15,BRATS_402.nii.gz,90.07
16,BRATS_253.nii.gz,76.15
17,BRATS_384.nii.gz,85.67
18,BRATS_033.nii.gz,78.33
19,BRATS_150.nii.gz,88.57
20,BRATS_021.nii.gz,38.17
21,BRATS_288.nii.gz,85.71
22,BRATS_388.nii.gz,87.67
23,BRATS_142.nii.gz,91.23
24,BRATS_009.nii.gz,95.3
25,BRATS_109.nii.gz,89.26
26,BRATS_074.nii.gz,88.97
27,BRATS_005.nii.gz,77.2
28,BRATS_178.nii.gz,57.08
29,BRATS_078.nii.gz,62.26
30,BRATS_480.nii.gz,92.95
31,BRATS_166.nii.gz,86.84
32,BRATS_394.nii.gz,78.23
33,BRATS_398.nii.gz,85.19
34,BRATS_298.nii.gz,95.31
35,BRATS_007.nii.gz,90.96
36,BRATS_076.nii.gz,84.16
37,BRATS_176.nii.gz,71.89
38,BRATS_015.nii.gz,86.82
39,BRATS_208.nii.gz,81.39
40,BRATS_459.nii.gz,70.87
41,BRATS_375.nii.gz,83.3
42,BRATS_424.nii.gz,83.94
43,BRATS_316.nii.gz,87.71
44,BRATS_436.nii.gz,84.39
45,BRATS_455.nii.gz,93.22
46,BRATS_204.nii.gz,87.37
47,BRATS_279.nii.gz,88.46
48,BRATS_351.nii.gz,90.37
49,BRATS_400.nii.gz,82.94
50,BRATS_463.nii.gz,92.35
51,BRATS_232.nii.gz,86.5
52,BRATS_089.nii.gz,94.79
53,BRATS_243.nii.gz,46.51
54,BRATS_412.nii.gz,59.12
55,BRATS_343.nii.gz,90.15
56,BRATS_220.nii.gz,82.08
57,BRATS_197.nii.gz,77.23
58,BRATS_471.nii.gz,88.14
59,BRATS_320.nii.gz,89.98
60,BRATS_072.nii.gz,82.67
61,BRATS_011.nii.gz,91.12
62,BRATS_060.nii.gz,65.66
63,BRATS_003.nii.gz,88.2
64,BRATS_135.nii.gz,82.0
65,BRATS_282.nii.gz,77.2
66,BRATS_044.nii.gz,89.45
67,BRATS_144.nii.gz,84.36
68,BRATS_139.nii.gz,88.8
69,BRATS_390.nii.gz,77.78
70,BRATS_247.nii.gz,75.24
71,BRATS_359.nii.gz,75.95
72,BRATS_408.nii.gz,61.65
73,BRATS_093.nii.gz,81.85
74,BRATS_355.nii.gz,70.05
75,BRATS_255.nii.gz,80.47
76,BRATS_479.nii.gz,85.48
77,BRATS_328.nii.gz,87.16
78,BRATS_228.nii.gz,83.25
79,BRATS_336.nii.gz,90.25
80,BRATS_236.nii.gz,85.84
81,BRATS_081.nii.gz,91.06
82,BRATS_432.nii.gz,89.7
83,BRATS_200.nii.gz,89.42
84,BRATS_271.nii.gz,75.01
85,BRATS_371.nii.gz,90.42
86,BRATS_212.nii.gz,79.65
87,BRATS_312.nii.gz,78.18
88,BRATS_418.nii.gz,81.05
89,BRATS_349.nii.gz,93.23
90,BRATS_249.nii.gz,92.05
91,BRATS_465.nii.gz,83.01
92,BRATS_234.nii.gz,91.01
93,BRATS_083.nii.gz,83.4
94,BRATS_406.nii.gz,73.88
95,BRATS_357.nii.gz,78.78
96,BRATS_091.nii.gz,81.1
97,BRATS_414.nii.gz,76.8
98,BRATS_238.nii.gz,79.03
99,BRATS_469.nii.gz,91.33
100,BRATS_441.nii.gz,94.25
101,BRATS_273.nii.gz,75.74
102,BRATS_373.nii.gz,56.74
103,BRATS_302.nii.gz,83.42
104,BRATS_361.nii.gz,92.44
105,BRATS_430.nii.gz,78.52
106,BRATS_261.nii.gz,89.13
107,BRATS_001.nii.gz,78.35
108,BRATS_162.nii.gz,83.42
109,BRATS_062.nii.gz,54.45
110,BRATS_113.nii.gz,94.21
111,BRATS_070.nii.gz,89.54
112,BRATS_170.nii.gz,83.05
113,BRATS_158.nii.gz,81.05
114,BRATS_392.nii.gz,62.54
115,BRATS_380.nii.gz,76.68
116,BRATS_137.nii.gz,79.83
117,BRATS_280.nii.gz,86.82
118,BRATS_129.nii.gz,90.41
119,BRATS_029.nii.gz,49.21
120,BRATS_075.nii.gz,80.77
121,BRATS_108.nii.gz,79.33
122,BRATS_008.nii.gz,88.46
123,BRATS_067.nii.gz,91.61
124,BRATS_481.nii.gz,86.84
125,BRATS_167.nii.gz,79.01
126,BRATS_179.nii.gz,58.41
127,BRATS_285.nii.gz,81.73
128,BRATS_389.nii.gz,92.32
129,BRATS_289.nii.gz,93.42
130,BRATS_120.nii.gz,78.38
131,BRATS_020.nii.gz,81.73
132,BRATS_411.nii.gz,80.21
133,BRATS_194.nii.gz,81.44
134,BRATS_223.nii.gz,73.68
135,BRATS_352.nii.gz,63.14
136,BRATS_403.nii.gz,61.85
137,BRATS_086.nii.gz,91.76
138,BRATS_331.nii.gz,85.9
139,BRATS_460.nii.gz,64.59
140,BRATS_264.nii.gz,80.11
141,BRATS_435.nii.gz,75.46
142,BRATS_219.nii.gz,81.1
143,BRATS_319.nii.gz,81.43
144,BRATS_207.nii.gz,77.42
145,BRATS_456.nii.gz,93.69
146,BRATS_307.nii.gz,85.78
147,BRATS_376.nii.gz,49.75
148,BRATS_427.nii.gz,83.44
149,BRATS_276.nii.gz,70.2
150,BRATS_368.nii.gz,66.22
151,BRATS_439.nii.gz,78.42
152,BRATS_268.nii.gz,82.76
153,BRATS_315.nii.gz,73.48
154,BRATS_444.nii.gz,74.99
155,BRATS_215.nii.gz,85.05
156,BRATS_233.nii.gz,75.98
157,BRATS_084.nii.gz,65.23
158,BRATS_333.nii.gz,84.2
159,BRATS_462.nii.gz,80.82
160,BRATS_184.nii.gz,72.97
161,BRATS_250.nii.gz,87.35
162,BRATS_350.nii.gz,59.97
163,BRATS_401.nii.gz,81.91
164,BRATS_196.nii.gz,92.95
165,BRATS_470.nii.gz,60.84
166,BRATS_321.nii.gz,67.97
167,BRATS_096.nii.gz,30.42
168,BRATS_221.nii.gz,68.52
169,BRATS_413.nii.gz,78.23
170,BRATS_342.nii.gz,62.63
171,BRATS_242.nii.gz,78.33
172,BRATS_188.nii.gz,71.92
173,BRATS_088.nii.gz,91.23
174,BRATS_317.nii.gz,82.67
175,BRATS_446.nii.gz,95.25
176,BRATS_217.nii.gz,93.11
177,BRATS_374.nii.gz,84.05
178,BRATS_425.nii.gz,66.87
179,BRATS_274.nii.gz,83.64
180,BRATS_309.nii.gz,93.76
181,BRATS_458.nii.gz,84.48
182,BRATS_209.nii.gz,83.83
183,BRATS_278.nii.gz,80.77
184,BRATS_429.nii.gz,85.32
