,sample-set,u-kj,sigma-kj,SEM-kj,w-kj,A-kj,B-kj,u-kj-star,SEM-kj-star,w-kj-star,A-kj-star,B-kj-star
0,10,83.773,5.337415198389573,1.688,6.61696,-3.3082,3.3082,83.778,1.683,6.63,-3.32,3.32
1,10,77.45100000000001,16.573580452032687,5.241,20.544719999999998,-10.2724,10.2724,77.434,5.252,20.35,-11.33,9.01
2,10,81.58500000000001,11.044420537085685,3.493,13.692559999999999,-6.8454,6.8454,81.639,3.47,13.54,-7.12,6.42
3,10,82.263,12.155438330228984,3.844,15.06848,-7.534,7.534,82.246,3.852,14.44,-8.29,6.15
4,10,80.921,8.133002459116804,2.572,10.08224,-5.0409,5.0409,80.947,2.576,9.93,-5.17,4.76
5,10,83.005,6.9972998363654515,2.213,8.67496,-4.337,4.337,83.0,2.211,8.6,-4.4,4.2
6,10,81.66799999999999,10.541414326360577,3.333,13.06536,-6.5336,6.5336,81.646,3.369,13.06,-6.82,6.24
7,10,80.23599999999999,8.823948322604794,2.79,10.9368,-5.4691,5.4691,80.228,2.822,10.97,-5.98,5.0
8,10,80.645,10.010464774424811,3.166,12.41072,-6.2046,6.2046,80.635,3.155,12.27,-6.3,5.98
9,10,83.896,6.250454703459581,1.977,7.74984,-3.8741,3.8741,83.918,1.974,7.68,-4.02,3.66
10,10,77.702,25.475740931325237,8.056,31.579519999999995,-15.79,15.79,77.608,8.025,28.21,-17.65,10.55
11,10,78.707,13.205311090618046,4.176,16.36992,-8.1847,8.1847,78.697,4.191,16.24,-8.77,7.48
12,10,82.279,6.946093074527581,2.197,8.61224,-4.3052,4.3052,82.27,2.205,8.58,-4.35,4.23
13,10,81.60799999999999,6.015667544005403,1.902,7.455839999999999,-3.7285,3.7285,81.622,1.906,7.42,-3.91,3.51
14,10,80.95100000000001,4.104963946248491,1.298,5.08816,-2.5443,2.5443,80.949,1.305,5.1,-2.65,2.45
15,10,83.434,4.877866746847438,1.543,6.048559999999999,-3.0233,3.0233,83.429,1.533,5.97,-2.8,3.17
16,10,81.14200000000001,9.893144899373507,3.128,12.26176,-6.1318,6.1318,81.15,3.111,12.07,-6.23,5.84
17,10,83.25099999999999,8.898051977820764,2.814,11.03088,-5.5151,5.5151,83.293,2.812,10.92,-5.57,5.35
18,10,84.72400000000002,8.608850329747868,2.722,10.67024,-5.3358,5.3358,84.676,2.729,10.34,-5.91,4.43
19,10,84.812,5.854913833695591,1.851,7.25592,-3.6289,3.6289,84.813,1.853,7.27,-3.65,3.62
20,10,80.53399999999999,9.370176305705245,2.963,11.61496,-5.8077,5.8077,80.545,2.944,11.44,-6.22,5.22
21,10,80.261,8.71644933444806,2.756,10.803519999999999,-5.4025,5.4025,80.304,2.755,10.79,-5.56,5.23
22,10,81.886,12.34303139427264,3.903,15.29976,-7.6503,7.6503,81.92,3.894,15.11,-8.23,6.88
23,10,75.707,16.641472921589603,5.262,20.627039999999997,-10.3145,10.3145,75.646,5.256,19.96,-11.44,8.51
24,10,82.607,9.676319599930542,3.06,11.9952,-5.9974,5.9974,82.63,3.077,11.92,-6.5,5.42
25,10,84.34200000000001,6.382093386969516,2.018,7.910559999999999,-3.9557,3.9557,84.369,2.006,7.77,-3.93,3.83
26,10,83.451,8.325956341466128,2.633,10.32136,-5.1605,5.1605,83.533,2.629,10.09,-5.59,4.5
27,10,79.256,12.035645558091183,3.806,14.91952,-7.4598,7.4598,79.311,3.793,14.63,-8.2,6.43
28,10,78.54299999999999,12.454533351354437,3.938,15.436960000000001,-7.7194,7.7194,78.502,3.932,15.03,-8.56,6.47
29,10,80.68,7.39478735326446,2.338,9.16496,-4.5833,4.5833,80.685,2.365,9.28,-4.76,4.52
30,10,80.259,10.98223879725805,3.473,13.61416,-6.8069,6.8069,80.19,3.459,13.37,-6.87,6.5
31,10,78.67800000000001,14.956573671800637,4.73,18.541600000000003,-9.2702,9.2702,78.704,4.802,18.56,-9.96,8.59
32,10,83.152,7.609098238293419,2.406,9.43152,-4.7162,4.7162,83.145,2.412,9.47,-4.89,4.58
33,10,84.25399999999999,5.223591101914468,1.652,6.47584,-3.2376,3.2376,84.257,1.667,6.52,-3.3,3.22
34,10,80.88399999999999,7.475465470457342,2.364,9.266879999999999,-4.6333,4.6333,80.913,2.337,9.1,-4.45,4.65
35,10,83.13500000000002,9.761711171715746,3.087,12.101040000000001,-6.0504,6.0504,83.12,3.066,11.64,-6.71,4.93
36,10,77.715,13.543884413269335,4.283,16.789360000000002,-8.3946,8.3946,77.79,4.257,16.5,-9.14,7.36
37,10,78.65299999999999,7.837107948727005,2.478,9.71376,-4.8575,4.8575,78.655,2.501,9.75,-5.15,4.61
38,10,86.792,3.3592076446686057,1.062,4.1630400000000005,-2.0821,2.0821,86.802,1.062,4.13,-2.1,2.03
39,10,76.958,25.277650128127018,7.993,31.33256,-15.6672,15.6672,76.97,7.974,28.36,-17.67,10.69
40,10,74.381,13.305678825223461,4.208,16.49536,-8.2469,8.2469,74.389,4.232,16.46,-8.66,7.79
41,10,80.85499999999999,13.095518508253118,4.141,16.23272,-8.1167,8.1167,80.873,4.159,15.26,-9.26,6.0
42,10,83.13699999999999,5.330540404124144,1.686,6.60912,-3.3039,3.3039,83.146,1.682,6.5,-3.25,3.26
43,10,83.676,9.47762649612233,2.997,11.74824,-5.8743,5.8743,83.674,3.001,11.63,-6.31,5.32
44,10,74.8,12.296726393638268,3.889,15.244879999999998,-7.6216,7.6216,74.796,3.85,14.83,-8.35,6.47
45,10,85.525,4.166188305873848,1.317,5.16264,-2.5822,2.5822,85.521,1.315,5.13,-2.57,2.56
46,10,83.495,6.394035110945199,2.022,7.926239999999999,-3.9631,3.9631,83.53,2.005,7.78,-3.8,3.98
47,10,82.13399999999999,6.763021809812531,2.139,8.384879999999999,-4.1918,4.1918,82.143,2.153,8.4,-4.27,4.12
48,10,75.664,14.16642241358064,4.48,17.561600000000002,-8.7804,8.7804,75.653,4.486,17.43,-9.35,8.07
49,10,75.441,17.692373187336965,5.595,21.932399999999998,-10.9658,10.9658,75.479,5.645,21.52,-12.13,9.39
50,10,79.08099999999999,11.778813565041258,3.725,14.602,-7.3006,7.3006,79.059,3.719,14.64,-7.99,6.65
51,10,80.213,11.284203161942804,3.568,13.98656,-6.994,6.994,80.201,3.554,13.74,-7.42,6.32
52,10,83.12499999999999,12.602534864066039,3.985,15.6212,-7.8111,7.8111,83.147,3.971,15.23,-8.78,6.44
53,10,84.194,7.115505885037268,2.25,8.82,-4.4102,4.4102,84.19,2.244,8.59,-4.8,3.79
54,10,84.33699999999999,6.572208228594098,2.078,8.14576,-4.0735,4.0735,84.349,2.081,8.08,-4.3,3.78
55,10,84.081,6.936695827265314,2.194,8.60048,-4.2994,4.2994,84.074,2.197,8.52,-4.72,3.8
56,10,71.84299999999999,17.632620366808787,5.576,21.857919999999996,-10.9288,10.9288,71.844,5.542,21.48,-11.31,10.17
57,10,83.031,6.629683929117587,2.096,8.21632,-4.1091,4.1091,83.045,2.077,8.22,-4.28,3.93
58,10,73.724,19.688301704311623,6.226,24.40592,-12.2029,12.2029,73.668,6.23,24.11,-13.35,10.76
59,10,76.78999999999999,14.247413098524238,4.505,17.659599999999998,-8.8306,8.8306,76.819,4.492,17.41,-8.86,8.55
60,10,78.803,16.135436808466014,5.102,19.999840000000003,-10.0008,10.0008,78.846,5.156,19.79,-11.25,8.53
61,10,80.20899999999999,17.257382449259214,5.457,21.39144,-10.6962,10.6962,80.217,5.42,21.36,-12.05,9.31
62,10,83.63700000000001,10.70476907737855,3.385,13.2692,-6.6349,6.6349,83.619,3.376,13.1,-7.06,6.04
63,10,78.911,17.216642210373077,5.444,21.34048,-10.671,10.671,78.907,5.455,20.5,-12.14,8.35
64,10,74.129,13.654995020138236,4.318,16.92656,-8.4635,8.4635,74.1,4.335,16.9,-8.99,7.91
65,10,84.226,6.642240886929651,2.1,8.232,-4.1169,4.1169,84.222,2.089,8.12,-4.2,3.93
66,10,80.389,13.25013090501373,4.19,16.4248,-8.2125,8.2125,80.44,4.201,15.76,-9.3,6.46
67,10,83.94000000000001,6.2287093366122,1.97,7.7223999999999995,-3.8606,3.8606,83.945,1.985,7.73,-4.03,3.71
68,10,79.98299999999999,10.140907306548069,3.207,12.571439999999999,-6.2854,6.2854,79.984,3.203,12.46,-6.82,5.64
