,sample-set,u-kj,sigma-kj,SEM-kj,w-kj,A-kj,B-kj,u-kj-star,SEM-kj-star,w-kj-star,A-kj-star,B-kj-star
0,10,4.604990067202246,1.7011956033827071,0.538,2.10896,-1.0544,1.0544,4.602,0.535,2.09,-1.06,1.03
1,10,9.111558212708294,7.435018960058409,2.351,9.21592,-4.6083,4.6083,9.111,2.329,9.03,-4.15,4.88
2,10,5.172617917751197,6.390932942611687,2.021,7.922319999999999,-3.9611,3.9611,5.163,2.016,6.95,-2.54,4.41
3,10,9.17720950733729,12.952946601389124,4.096,16.05632,-8.0283,8.0283,9.236,4.108,15.18,-6.1,9.08
4,10,7.399447048008102,3.748090631738267,1.185,4.6452,-2.3231,2.3231,7.387,1.188,4.63,-2.29,2.33
5,10,7.37570792096538,9.262771327448855,2.929,11.481679999999999,-5.7411,5.7411,7.406,2.966,11.09,-4.42,6.68
6,10,5.5978374569893035,4.4344352295560165,1.402,5.495839999999999,-2.7485,2.7485,5.604,1.407,5.47,-2.66,2.81
7,10,14.12830861761601,15.946501045853202,5.043,19.76856,-9.8837,9.8837,14.136,5.087,19.31,-7.93,11.39
8,10,5.063437113495219,3.501657407240063,1.107,4.33944,-2.1703,2.1703,5.059,1.099,4.25,-1.93,2.32
9,10,5.374192393160639,3.495433609910842,1.105,4.3316,-2.1665,2.1665,5.382,1.113,4.28,-1.8,2.47
10,10,7.118802972565062,8.580363875605673,2.713,10.63496,-5.3182,5.3182,7.147,2.698,9.75,-3.85,5.9
11,10,10.546630721521682,12.404377470226187,3.923,15.37816,-7.6883,7.6883,10.545,3.902,14.86,-6.27,8.58
12,10,7.450151402519923,9.060642586457677,2.865,11.2308,-5.6158,5.6158,7.444,2.86,10.68,-4.41,6.28
13,10,5.659288821871163,3.9965547701294035,1.264,4.95488,-2.4771,2.4771,5.676,1.27,4.78,-1.99,2.8
14,10,8.735887224088653,12.40501005271679,3.923,15.37816,-7.6887,7.6887,8.771,3.966,13.58,-4.99,8.59
15,10,6.037769769224245,5.004531567873442,1.583,6.20536,-3.1018,3.1018,6.043,1.566,5.77,-2.34,3.44
16,10,9.795031633862532,11.85147059615946,3.748,14.692160000000001,-7.3456,7.3456,9.785,3.748,14.32,-6.01,8.3
17,10,14.984344110612145,26.19865323971374,8.285,32.4772,-16.2381,16.2381,14.904,8.203,29.34,-12.44,16.89
18,10,6.508443051246512,5.517261009656965,1.745,6.840400000000001,-3.4196,3.4196,6.49,1.737,6.71,-3.04,3.67
19,10,7.5049304596727495,9.048536831746672,2.861,11.21512,-5.6083,5.6083,7.518,2.898,10.48,-4.1,6.38
20,10,9.651950521297543,16.122650251569194,5.098,19.98416,-9.9929,9.9929,9.639,5.085,17.25,-6.16,11.09
21,10,18.822700178275646,27.10914897223338,8.573,33.60616,-16.8024,16.8024,18.712,8.601,32.89,-14.04,18.86
22,10,15.008293812409217,16.200343108724557,5.123,20.082160000000002,-10.0411,10.0411,14.984,5.154,19.96,-9.18,10.78
23,10,13.693341928987971,23.976913621561465,7.582,29.721439999999998,-14.861,14.861,13.667,7.471,25.54,-9.17,16.37
24,10,4.492102131797739,2.2629667336260617,0.716,2.80672,-1.4026,1.4026,4.488,0.712,2.8,-1.32,1.48
25,10,13.089328989009402,24.225388884752252,7.661,30.031119999999998,-15.0151,15.0151,13.017,7.535,25.9,-9.33,16.57
26,10,8.434979666028598,8.476503880355633,2.681,10.50952,-5.2538,5.2538,8.436,2.686,9.98,-4.02,5.95
27,10,6.543912929167698,6.370023828485403,2.014,7.894879999999999,-3.9482,3.9482,6.498,2.011,7.64,-3.28,4.36
28,10,5.3654538434968595,3.4513627820478088,1.091,4.27672,-2.1392,2.1392,5.368,1.083,4.17,-1.87,2.3
29,10,14.298928445703671,18.070435670028726,5.714,22.398880000000002,-11.2002,11.2002,14.294,5.729,22.28,-9.82,12.46
30,10,6.701113760058948,6.204439892105379,1.962,7.69104,-3.8456,3.8456,6.734,1.968,7.5,-3.31,4.2
31,10,8.562724592923596,9.169500943112523,2.9,11.368,-5.6833,5.6833,8.523,2.878,11.03,-4.65,6.39
32,10,8.13106018559648,13.333636422904581,4.216,16.52672,-8.2643,8.2643,8.1,4.237,14.62,-5.42,9.2
33,10,4.4518040627074695,5.232727834242984,1.655,6.4876,-3.2433,3.2433,4.467,1.67,5.71,-2.09,3.62
34,10,11.891807572021788,13.186542862706862,4.17,16.3464,-8.1731,8.1731,11.864,4.144,15.69,-6.63,9.07
